trial #,time1,InterStim,reaction time,distance
1,1525232,776916,272520,2
2,4523984,426828,336264,1
3,7523464,826308,227080,3
4,10521672,993644,166792,2
5,13520728,826796,217360,3
6,16519424,677044,198920,1
7,19518476,609944,236296,3
8,22517408,909680,228748,3
9,25516044,593440,216456,2
10,28497688,444060,231816,2
11,31513312,760532,210952,3
12,34512488,860164,37896,3
13,37511840,625972,258056,1
14,40493432,826788,190216,2
15,43508748,527304,199304,1
16,46508104,893172,182024,1
17,49506560,660540,171784,1
18,52505612,676448,196744,2
19,55487736,493460,200840,1
20,58503120,543564,201864,2
21,61502840,426108,197664,2
22,64501048,776076,169736,3
23,67499624,626812,208520,2
24,70498680,910036,176136,2
25,73497736,476340,248584,3
26,76496488,543324,262408,2
27,79495480,992924,185096,2
28,82493632,927148,315400,3
29,85492688,743308,217608,3
30,88492168,909316,168072,1
31,91490616,676568,247564,3
32,94489312,660180,282504,3
33,97488128,1009908,155040,1
34,100486880,593324,239496,1
35,103485752,443940,289928,1
36,106484568,627292,214920,1
37,109483440,493692,228872,2
38,112482184,426844,246664,1
39,115497752,793788,193160,2
40,118494040,412492,241416,3
41,121478456,577420,219016,2
42,124477328,760300,161816,1
43,127476208,793180,145544,3
44,130475320,593684,250248,3
45,133474192,876428,176136,2
46,136472832,827028,198408,2
47,139471704,643556,214280,3
48,142470880,909916,202760,1
49,145469632,776556,208392,2
50,148468256,876556,213384,3
,151467312,709588,253968,3
52,154465832,977020,144776,2
53,157465128,892692,198920,2
54,160463640,826676,206216,2
55,163462816,759572,221704,3
56,166461632,992684,346888,3
57,169460328,876668,241160,1
58,172459320,875948,456456,2
59,175457952,576580,262152,1
61,181455944,693556,193176,1
62,184454760,426588,248840,3
63,187453088,510076,284168,2
64,190468344,810292,160008,1
65,191706184,2739020,186376,3
66,196459408,967148,232600,1
67,199444904,497556,311688,2
68,202446080,461164,229000,1
69,205445192,595132,237584,3
70,208443944,545132,302344,3
71,211443000,677412,202120,2
72,214441336,712100,350984,2
73,217440144,794752,498956,3
74,220439144,444660,237704,2
75,223438016,611396,309392,3
76,226437132,528388,216588,2
77,0,0,0,2
78,0,0,0,2
79,229454208,775580,184968,1
80,232435544,677048,241804,3
81,235451404,893056,348040,3
82,238450160,526940,253320,3
83,241449216,826188,182664,2
84,244430496,810532,622728,3
85,246304900,1901872,179592,1
86,250428608,760412,200840,3
87,253443984,960156,173064,1
88,256426176,494172,220552,2
89,257767436,5366608,228232,3
90,265439120,560556,200072,1
91,268421908,427320,357512,3
92,271417840,996052,178952,2
93,274419304,960156,170128,1
94,277418296,926788,162072,1
95,280433488,926912,197260,1
96,283465440,494052,198408,3
97,286414320,743908,91016,3
98,289413552,810532,189320,1
99,290798420,2383996,197900,2
100,0,0,0,2
101,295427688,593684,203928,3
1,1514384,510204,366216,3
2,4529640,693316,209416,2
3,7528400,643796,224008,1
4,10510096,844516,161696,1
5,13508800,761500,190472,2
6,16507552,710540,209800,3
7,19523472,727412,188944,1
8,22505784,994008,169100,2
9,25521040,827036,222856,3
10,28502928,861252,154248,2
11,31519032,627172,171400,2
12,34517968,944252,182408,3
13,37499728,777892,187424,3
14,40515536,760532,236168,2
15,43497064,494652,201736,1
16,46496296,861012,201752,1
17,49495112,577900,206728,2
18,52511032,560436,207240,2
19,55510028,959912,90760,2
20,58508960,460084,279304,1
21,61507840,626572,155400,1
22,64506528,959796,186504,1
23,67505640,476712,418064,1
24,70504040,860044,214304,2
25,73486348,926184,217632,2
26,76485104,909556,197128,2
27,79500720,426836,268176,2
28,82482968,442980,235032,1
29,85498288,693316,186784,2
30,88480656,743188,169608,1
31,91496336,627060,187280,1
32,94494672,660300,201864,3
33,97493608,793300,275208,1
34,100475496,627532,197512,2
35,103474188,577664,209416,1
36,0,0,0,3
