trial #,time1,InterStim,reaction time,distance
1,1523904,543568,279948,3
2,4522720,976660,471200,1
3,7521592,825708,174088,2
4,10520712,409844,211480,2
5,13519040,676444,177800,3
6,16517912,493572,200712,2
7,19517152,593444,235152,1
8,22515184,843780,111264,3
9,0,0,0,2
42588,71184,3
11,31512768,692948,176392,2
12,34511520,875708,138120,1
13,37509672,727164,174216,2
14,40491744,643196,84232,1
15,43507544,843060,3084,2
16,0,0,0,3
17,49505824,942332,116744,1
18,52504288,859440,158476,3
19,55503160,793060,63496,3
20,58502032,809572,174880,1
21,61500848,492972,192136,3
22,0,0,0,3
23,67498840,459596,217736,3
24,70497592,742228,138120,1
25,73496464,659100,179976,1
26,76495040,642716,200200,2
27,79493496,526460,205984,2
28,82492184,793308,215328,3
29,85490944,477188,155536,3
30,88489576,776916,39432,2
31,91489232,575972,195592,3
32,94487504,510556,253576,2
33,97486200,860164,83352,1
34,0,0,0,3
35,103484736,542716,189960,1
36,106483240,1009548,33292,1
37,109482056,1009668,104584,3
38,112480512,443452,185096,3
39,115479928,509348,154376,1
40,118478860,792704,22540,1
41,0,0,0,2
42,124493352,576340,199320,1
43,127474944,726436,183816,1
44,130473928,810056,132108,1
45,0,0,0,1
46,136471952,659556,189600,1
47,139470312,843304,243468,3
48,142485936,626452,203272,2
49,145468304,643076,208648,2
50,148484048,459476,214536,2
51,151482440,476828,231944,2
52,154464872,809204,61448,1
53,157480312,592716,189704,1
54,0,0,0,1
55,163461632,825812,122888,2
56,166459768,793180,185736,2
57,169458456,460084,348296,3
58,172457816,975812,36744,3
59,175472896,643436,190216,2
60,178455384,709692,113672,2
61,0,0,0,1
62,184453768,658876,263176,2
63,187451768,426468,290568,3
64,190450880,709700,150288,2
65,193449576,526220,207648,3
66,196448268,509832,134408,3
67,199447320,859444,47880,3
68,202445836,543088,177944,3
69,205444832,742948,91920,3
70,208443280,493332,70792,2
71,211442640,692708,129416,2
72,0,0,0,2
73,0,0,0,2
74,0,0,0,2
75,0,0,0,2
76,0,0,0,2
77,214458656,958796,184072,1
78,0,0,0,1
79,0,0,0,1
80,0,0,0,1
81,217441112,509112,218380,2
82,220439320,975820,131592,1
83,223454880,442372,230280,2
84,0,0,0,1
85,229452992,425628,205832,3
86,232451328,609460,200968,3
87,235433456,742820,156424,2
88,238448652,560432,198792,3
89,241431024,759328,114060,1
90,244446272,742956,185864,1
91,247428648,942692,130568,2
92,250427272,976068,35976,2
93,253442304,927020,206472,1
94,256424312,460316,215688,3
95,259439872,627052,179720,2
96,0,0,0,2
97,260959716,2488936,219656,3
98,264175988,1955120,159240,3
99,268436192,893172,25992,3
100,271435248,610188,137496,2
