1,13523252,829808,185992
2,16427560,658020,243464,2
3,19442700,757764,164364,1
4,22424288,491884,407048,2
5,25422800,774988,314760,3
6,28438540,475016,196360,3
7,31420304,974732,161416,2
8,34418336,542004,168328,1
9,37415824,460084,212744,2
10,40412536,928828,94984,1
11,43413880,659220,250888,3
12,46411184,811372,173448,2
13,49408072,779812,175496,1
14,52407128,679460,258072,2
15,55407688,860164,200200,3
16,58423488,426468,185480,1
17,61422968,425260,337160,1
18,64405392,608508,202888,1
19,67420896,925100,60040,2
20,70419224,958588,319368,3
21,73419128,524052,303752,2
22,76400528,775236,211720,3
23,79399288,957740,186888,3
24,82415504,956908,148120,3
25,85397392,923652,111112,2
26,88412416,557540,188424,2
27,91394720,640428,182280,2
28,94393176,790172,74912,1
29,97391808,891244,222984,1
30,100407608,690300,237064,3
31,103405400,891244,203912,3
32,106405176,456468,201736,1
33,109403752,590188,229640,3
34,112385280,906780,166280,1
35,115400776,940636,201864,2
36,118382480,840412,179592,1
37,121397984,407676,228104,2
38,124380656,723308,152456,1
39,127378144,824260,213000,3
40,130393760,491044,199560,1
41,133392456,474180,190216,2
42,136374944,806676,180104,1
43,139390088,723788,159752,1
44,142388480,457788,187912,1
45,145387168,657776,50956,1
46,0,0,0,2
47,151384908,907040,228104,3
48,154366988,724032,181768,2
49,157365560,774148,184200,2
50,160380576,690668,215688,2
51,163379512,657172,300808,3
52,0,0,0,2
53,169377376,457076,351752,3
54,172358904,824028,205576,1
55,175357600,673796,209032,3
56,178356112,640668,177800,3
57,181371616,674516,205704,3
58,184353680,824028,212744,2
59,187369064,590548,252424,2
60,190367880,640540,187400,2
61,193366568,873420,149920,2
62,196347916,657656,207248,3
63,199346600,974380,174472,2
64,202362352,457068,244616,2
65,205344296,824028,182288,1
66,208342928,757524,203784,2
67,211358732,756920,200456,2
68,214356880,823788,119192,2
69,217355696,907268,85768,1
70,220353548,841608,187272,3
71,223353088,773904,228492,2
72,226351176,907628,189576,3
73,229333368,924012,60936,3
74,232332176,824148,192392,3
75,235330208,441412,227592,2
76,238363000,607772,185224,2
77,241344824,857276,160160,1
78,244344000,490196,303496,3
79,247340944,925220,181384,3
80,250340728,991116,204816,3
81,253339600,791012,166024,1
82,256338352,607780,166280,2
83,259337104,840892,153352,3
84,262336224,590068,170248,2
85,265334856,456948,214280,3
86,0,0,0,1
87,271333520,822804,368520,1
88,274315400,422372,237832,1
89,277329632,707404,108040,2
90,280327896,424068,248840,3
91,283326840,523804,221576,1
92,286324872,206728,585100,1
93,289307352,774036,223240,3
94,292322256,808244,237584,2
95,295321368,540796,248072,2
96,298320368,205524,734344,3
97,301318936,607300,236424,2
98,304317512,790292,166152,1
99,307315784,824508,312848,2
100,310313816,558264,220172,3
101,313314016,439844,231568,1
102,316312224,440688,254476,2
103,319310976,873660,215048,3
104,322309432,840408,216972,2
2,172304,1
106,328306216,574892,234888,1
107,331321720,691020,161544,3
108,334304512,989908,49160,2
109,0,0,0,1
110,340302376,857036,248096,3
111,0,0,0,3
112,346299320,773508,224648,3
113,349298040,474052,315016,2
114,352296728,423700,256648,2
115,355294704,691020,158344,1
116,0,0,0,2
117,361292552,590324,226968,2
118,364291144,573804,231816,2
119,367289480,441164,208136,2
120,370288232,773668,197128,2
121,373287096,590316,182280,1
122,376286160,606932,182664,2
123,379284976,490796,203784,2
124,382283608,490436,182408,3
125,385282184,923772,163216,1
126,388281104,457204,183952,1
127,391280288,789572,196616,2
128,394278744,956660,225544,3
129,397276952,657052,213640,1
130,400275832,657048,201484,2
131,403273864,774388,335640,2
132,406274720,705604,175496,2
133,409272448,606820,184200,2
134,412271144,872936,151308,2
135,415270200,955940,131592,3
136,418268464,473700,309896,1
137,421283840,922812,179848,3
138,424265800,639820,204424,1
139,427264488,806684,147984,3
140,430262528,640300,151560,1
141,433261580,706808,157072,3
142,436260144,923300,6664,2
143,439258784,740180,198048,3
144,442257120,440564,205704,2
145,445255632,990272,145292,1
146,448254448,757764,212000,3
147,0,0,0,2
148,454252304,439852,306696,3
149,457251248,639708,295048,3
150,460249584,590308,231432,1
151,463247912,457556,241432,3
152,466247448,606092,214920,2
153,469262408,540196,374024,2
154,472244536,456588,209160,2
155,475243472,806436,165280,2
156,478241680,523452,197512,1
157,481256336,690788,200352,2
158,484238528,757164,141832,1
159,487254272,606812,300296,3
160,490252544,723548,162056,1
161,493251352,573564,412040,3
162,496233304,890284,134032,2
163,499232904,688972,219272,2
164,502231232,939316,170144,3
165,505229856,589956,215688,3
166,508228620,689576,213896,3
167,511227136,606692,201608,2
168,514226008,673076,214664,3
169,517241208,506580,227208,3
170,520223152,706684,178440,2
171,523221968,906428,218120,2
172,526220600,589948,559112,2
173,529219416,956300,199304,1
174,532217920,939804,184968,2
175,535216072,607180,200584,1
176,538215376,856188,195848,1
177,541229672,524532,257800,3
178,544212344,807036,150048,1
179,547227840,473692,220424,1
180,550210328,489964,291216,3
181,0,0,0,1
182,556207808,939044,206984,2
183,559222136,457068,235016,3
184,562221192,906900,195592,1
185,565219584,723428,201224,3
7832,3
187,571216908,407192,235272,3
188,574215840,623444,197920,2
189,577198152,939676,77576,1
190,580212448,674516,198408,1
191,583195360,773424,237324,2
192,586194056,573196,264840,3
193,589209184,740060,148616,1
194,592190352,873900,220808,3
195,595189896,890156,229000,1
196,598188104,840648,249228,3
197,601186736,990636,177160,3
604201872,474180,237192,3
199,607184544,606576,204172,2
200,610200048,906660,205576,3
201,613198680,790412,157704,1
202,616197132,673796,160140,2
