1,0,0,0
2,0,0,0
3,0,0,0,3
4,65630560,556780,198152,1
5,0,0,0,1
6,68629576,806676,207368,3
7,71644776,573564,247048,1
8,74627504,605852,235272,3
9,77659148,572840,379912,3
10,80623800,506712,162956,1
11,83638284,541040,178328,1
12,86638240,922932,147208,1
13,89619832,791012,234376,3
14,92618224,607052,220040,1
15,95616376,541276,188040,1
16,98615184,791020,189976,3
17,101630988,690784,194056,2
18,104630344,989788,186632,2
19,107611512,757400,250252,2
20,110611040,539716,314376,3
21,113609496,440084,225032,2
22,116624272,990156,389768,3
23,0,0,0,3
24,119622184,840892,233224,1
25,122603712,591396,206088,2
26,125619816,457548,225928,3
27,128618508,857392,136456,2
28,131616360,624764,193032,3
134598184,525140,191000,2
30,137614472,973284,196360,3
31,140612256,525140,231840,1
32,143593608,575732,199704,3
33,146610488,640908,174088,2
34,149608880,674764,112024,1
35,152607272,541036,199688,2
36,155589224,941236,119944,3
37,158604832,624292,175368,1
38,161620280,690780,177544,2
39,164585360,791140,201632,2
40,167600440,741260,175496,3
41,170599616,607420,168344,2
42,173598552,823780,149384,1
43,176580080,657412,164640,1
44,0,0,0,3
45,182577808,657188,253320,3
46,185593264,790412,168584,1
47,188574608,657780,210320,3
48,191572872,941612,232456,2
49,194589768,873540,151432,1
50,197586956,206852,931340,2
51,200586912,623684,303752,2
52,203585248,923892,201992,1
53,206583820,723912,221064,1
54,209565224,441532,271880,1
55,212581208,740780,184848,3
56,215579416,807160,192268,1
57,218578176,624644,196368,3
58,221577528,974012,120736,1
59,224559296,507188,229024,3
60,227574672,557548,233368,2
61,230556928,924252,172296,1
62,233571216,841372,259848,3
63,236570216,974732,173216,3
64,239552216,475028,335112,1
65,242567960,707652,154760,2
66,245566416,774268,165512,1
67,248565048,624404,162568,2
68,251564344,773548,159368,1
69,254562616,507788,246152,3
70,257561424,674164,180104,2
71,260559584,408276,230536,1
72,263575024,774628,144648,1
73,266556968,907628,143368,3
74,269556088,424420,229384,3
75,272537612,658496,223752,3
76,275553472,524172,146952,1
77,278535304,741012,216456,3
78,281533632,858116,249992,2
79,284548888,991116,193544,1
80,287531680,807280,219660,3
81,290530376,424060,224776,3
82,293528588,424904,177672,3
83,296544088,424060,223624,2
84,299525976,574524,188808,3
85,302541232,457556,197904,2
86,0,0,0,3
87,308539128,507284,229640,1
88,311537256,441524,230152,1
89,314535948,1008104,188576,2
90,317517776,541396,415368,3
91,320533152,691748,191496,3
92,323514984,591996,191368,2
93,326531024,1007380,174216,3
94,329529480,807276,153760,3
95,332528040,491052,155016,1
96,335526144,858476,189320,3
97,338526280,756556,295688,1
98,341524008,407916,366728,3
99,344523248,940756,245256,3
100,347521760,891004,202760,1
101,350520456,857268,195336,1
102,353518968,591388,195080,1
103,356500848,940884,160264,3
104,359516104,974380,203808,3
105,362497880,625004,229128,1
106,365513920,707532,178184,2
107,368529120,674276,176904,2
108,371510888,1007860,185096,2
109,374508968,858364,244360,3
110,377507912,524772,239240,2
111,380507024,924260,180640,1
112,383505176,991844,280856,2
113,384980692,2048136,355464,2
114,387514012,2413280,259864,3
115,392501984,507788,182792,1
116,395500016,724876,173080,3
117,398498888,541036,197768,3
118,401498124,940160,156040,1
119,404495856,625364,241800,3
120,407495632,773428,210320,2
121,410510888,790772,160264,1
122,413492600,841124,175624,3
123,416491472,708132,220576,3
124,419490048,824380,142984,3
125,422488736,574172,194968,2
126,425487736,940636,163848,3
127,428486424,940644,172056,1
128,431501504,624404,176648,3
129,434482792,758244,154632,1
130,437481544,825108,166408,1
131,440480296,657896,256908,2
132,443479176,807756,145544,2
133,446477744,824628,204424,2
134,449493536,907396,71560,1
135,452475672,824868,174728,1
136,455474064,591036,253832,1
137,458473000,773788,208392,2
138,461472048,641036,207624,2
139,464470208,874020,175368,3
140,467469200,624044,252168,2
141,470467536,524412,298120,2
142,473466408,574052,240648,1
143,476465040,440932,230816,2
144,479497104,707532,130440,2
145,482462368,840652,136456,2
146,485461128,857748,246664,1
147,488459760,457788,251528,3
148,491458752,624404,172680,2
149,494456896,874388,199688,2
150,497489392,890764,213784,1
151,500454776,990508,163592,3
152,503453584,990276,153480,1
153,506452280,556940,276616,2
154,509466636,425264,284040,1
155,512465872,457668,321672,2
156,515447576,990876,165512,1
157,518446872,823788,216720,2
158,521445208,791132,210312,3
159,524443960,623924,241544,1
160,527442656,607412,240904,2
161,530441408,723916,244744,2
162,533456184,808004,219800,2
163,536437952,541396,377096,3
164,539453152,791732,189320,3
165,542452264,957508,114696,2
166,545451320,773908,203784,3
167,548450316,540552,268168,2
168,551432504,823420,198024,1
169,554431256,540076,322184,2
170,557429408,891732,190496,1
171,559736480,1136764,310412,1
8,184584,3
173,566424768,458036,184736,1
174,569440392,824140,210312,2
175,572422688,974380,99336,1
176,575421512,508028,251272,3
177,578419784,674760,199308,1
178,581419020,607296,256904,3
179,584434160,907988,31752,3
180,587416344,857396,206728,2
181,590431304,690780,242056,3
182,593430000,807396,183816,3
183,596428568,741380,196872,3
184,599427264,525012,236168,3
185,0,0,0,3
186,605425832,873076,322824,3
187,608423888,940636,204936,1
188,611422584,624036,226184,1
189,614404712,573684,224008,3
