trial #,time1,InterStim,reaction time,distance
1,1527400,442612,227592,3
2,4526512,693556,176136,1
3,7525144,660068,161816,2
4,10507880,426108,202248,3
5,13506272,692948,152456,1
6,16504720,526588,200712,2
7,19503768,476476,133640,1
8,22519456,426716,222232,1
9,25501464,710060,327304,3
10,28517088,526340,195208,1
11,31515840,793180,149896,1
12,34497968,759812,148488,3
13,37513352,610184,21260,1
14,40528784,876548,129288,2
15,43494776,1026532,161672,1
16,46510152,542844,199048,2
17,49508784,709940,222088,3
18,52491032,876548,20232,2
19,55506416,609948,218888,3
20,58505104,659708,171784,1
21,61487536,659700,167944,1
22,0,0,0,2
23,67501736,826668,205064,3
24,70500488,776916,174088,3
25,73499536,509716,214536,1
26,76497992,793788,183056,1
27,79497592,726076,214152,3
28,82495792,693684,168712,2
29,85494796,526464,205320,1
30,88493552,926180,88584,3
31,91492488,826668,41736,2
32,94491296,459364,269584,1
33,97489992,509716,232712,3
34,100489288,625972,190360,1
35,103488040,875948,75144,2
36,106486136,542844,211360,1
37,109484824,676932,182920,2
38,112483640,593444,216968,2
39,115482760,993036,58504,1
40,118481208,844020,185224,1
41,121480144,710060,307096,2
42,124478832,611036,204680,2
43,127477952,910036,111368,3
44,130477128,576212,314888,2
45,133475392,926916,208528,2
46,136474392,610428,200840,1
47,139473152,593556,204936,2
48,142455640,892932,165000,3
49,145471080,826548,229000,1
50,148486576,776436,217992,1
51,151468768,709812,192264,2
52,154467160,510676,208136,2
53,157466696,826188,200584,1
54,160465088,593444,193288,1
55,163463904,892572,1948,1
56,166462600,726676,209544,2
57,169461528,943052,188168,1
58,172459920,427076,226568,1
59,175459096,1009912,14604,1
60,178457856,660300,191240,1
61,181456664,593564,201480,1
62,184455240,677292,191904,2
63,187454600,576452,171272,1
64,190453408,759932,224136,2
65,193468968,626572,250760,3
66,196451160,493332,217992,2
67,199466720,992804,75408,1
68,202448544,776436,239752,2
69,205447304,543684,218120,3
70,208446720,809564,191752,1
71,211445112,893412,211208,3
72,214444224,660060,183688,1
73,217443640,875828,231688,2
74,220442576,559348,219016,3
75,223457472,592964,176272,2
76,226456104,542964,185480,1
77,229438536,925820,482696,3
72,383880,2
79,235436104,892812,203784,2
80,238434800,759452,184712,1
820,2
82,244449536,675724,206472,3
83,247447808,426468,206088,2
84,250446680,443092,274440,3
85,253428448,1026892,169736,2
86,256445088,975340,173704,1
87,259443240,426596,217864,1
88,262425432,859684,79128,2
89,265441232,542724,207496,1
90,268423180,642832,162696,2
91,271438860,676328,175136,2
92,274437848,626100,241928,2
93,277419744,476464,314892,2
94,280418616,809444,163208,3
95,283434056,992684,213792,2
96,286432752,709812,343176,2
97,289415180,792824,165648,3
98,292413576,876548,161416,3
99,295429192,809804,148744,3
100,298411020,643440,203672,1
